id,citation,title,summary,court,date
115,SC-114,Supreme Court Judgment,"  Page 1 of 13          THE RIGHT TO FREE AND COMPULSORY EDUCATION   ACT, 2012             CONTENTS   1.  Short title, extent and commencement .  2.  Definitions .  3.  Right of child to free education .  4.  Special provisions for education .  5.  Right of transfer to other school .  6.  Duty of ap propriate Government to establish school .  7.  Sharing of financial and other responsibilities .  8.  Duty of parents .  9.  Appropriate Government to provide pre school education .  10.  Responsibi",Supreme Court of Pakistan,Unknown
116,SC-115,Supreme Court Judgment,THIS LAW HAS BEEN REPEALED  ,Supreme Court of Pakistan,Unknown
117,SC-116,Supreme Court Judgment,"  Page 1 of 7                  THE FEDERAL OMBUDSMEN INSTITUTIONAL REFORMS ACT,  2013                     CONTENTS       1.  Short title, extent and commencement.   2.  Definition.   3.  Tenure of the Ombudsman.   4.  Acting Ombudsman.   5.  Removal of Ombudsman.   6.  Resignation.   7.  Grievance Commissi oner.   8.  Oath of office.   9.  Expeditious disposal of complaints.   10.  Powers of Ombudsman.   11.  Temporary Injunction.   12.  Power to punish for contempt.   13.  Review.   14.  Repres",Supreme Court of Pakistan,Unknown
118,SC-117,Supreme Court Judgment,"  Page 1 of 25     THE  PAKISTAN  ENVIRONMENTAL  PROTECTION  ACT,  1997        CONTENTS     1 Short title, extent and commencement.   2 Definitions.   3 Establishment of the Pakistan Environmental Protection Council.   4 Functions and powers of the Council.   5 Establishment of the Pakistan Environmental Protection Agency.   6 Functions of the Federal Agency.   7 Powers of the Federal Agency.   8 Establishment, powers and functions of the Provincial Environmental Protection Agencies.   9 Establi",Supreme Court of Pakistan,Unknown
119,SC-118,Supreme Court Judgment,THIS LAW HAS BEEN REPEALED  ,Supreme Court of Pakistan,Unknown
120,SC-119,Supreme Court Judgment,"  Page 1 of 3      THE CIGARETTES  (PRINTING OF  WARNING)  ORDINANCE ,  1979         CONTENTS   __________       1. Short title, extent application and commencement.   2.  Definitions.   3.  Printing of health warning.   4.  Prohibition to sell, etc.   5.  Penalties.   6.  Offences by companies.   7.  Cognizance of offences.   8.  Power to make rules.   Update on 06.05.2023  Page 2 of 3   THE  CIGARETTES  (PRINTING  OF WARNING)  ORDINANCE  1979.   ORDINANCE  No. LXXIII  OF 1979   [31st December,",Supreme Court of Pakistan,Unknown
121,SC-120,Supreme Court Judgment,"THE KARACHI ELECTRICITY CONTROL ACT, 1952 CONTENTS PREAMBLE 1. Short title, extent and commencement. 2. Definition of ""licensee"". 3. Control of production, distribution, etc., of electrical energy. 4. Delegation of powers. 5. Continuance of existing orders. 6. Penalty, etc.. 7. Saving as to orders. 8. Protection of action under this Act. 9. Cognizance of offences. 10. Effect of inconsistent provisions with other enactments. 11. Service of orders. 12. Repeal. Page 1 of 6  THE KARACHI ELECTRICITY ",Supreme Court of Pakistan,Unknown
122,SC-121,Supreme Court Judgment,"THE BOILERS ACT, 1923 CONTENTS 1. Short title, extent and commencement. 2. Definitions. 2 A.Application of act to feed pipes. 2 B.Application of act to economisers. 3. Limitation of application. 4. Power to limit extent. 5. Appointment of chief inspectors and inspectors. 6. Prohibition of use of unregistered or uncertificated boiler. 7. Registration. 8. Renewal of certificate. 9. Provisional orders. 10. Use of boilers pending grant of certificate. 11. Revocation of certificate or provisional ord",Supreme Court of Pakistan,Unknown
123,SC-122,Supreme Court Judgment,"          THE BONDED LABOUR SYSTEM (ABOLITION) ACT,1992                 CONTENTS   1. Short title, extent and commencement.   2. Definitions.   3. Act to over ride other laws, etc.   4. Abolition of bonded labour system.   5. Agreement, custom, etc., to be void.   6. Liability to repay bonded debt to stand extinguished.   7. Property of bonded labour to be freed from mortgage, etc.   8. Creditor not to accept payment against extinguished debt.   9. Authorities who may be specified for implementi",Supreme Court of Pakistan,Unknown
124,SC-123,Supreme Court Judgment,"  Page 1 of 4      THE PUBLIC INVESTMENTS (FINANCIAL SAFEGUARDS)  ORDINANCE, 1960.               CONTENTS              __________   1.  Short title and commencement   2.  Definitions   3.  Power to appropriate Government to prescribe procedures, etc., in certain cases   4.  Power to appropr iate Government to give directions in certain other cases   5.  Power to call for documents, etc .  6.  Penalties   7.  Offences by Corporations etc .  8.  False information etc .  9.  Cognizance of offence  ",Supreme Court of Pakistan,Unknown
125,SC-124,Supreme Court Judgment,"  Page 1 of 3        THE N ATION AL JUDI CIAL (POLICY MAKIN G)   COMM ITTEE ORDIN ANCE, 2002                      CONTENTS   __________       SECTIONS:   1 Short  title, extent  and commencement.   2 Definitions.   3 Establishment of National Judicial (Policy Making) Committee.   4 Function s of the Committee.   5 Finances  6 Constitution of sub-committees.   7 Reports.   8 Secretariat assistance   9 Power to make rules.     ____________         Updated till 3.8.2022  Page 2 of 3       THE NATIO",Supreme Court of Pakistan,Unknown
126,SC-125,Supreme Court Judgment,"  Page 1 of 9        THE RECOGNITION AND ENFORCEMENT (ARBITRATION  AGREEMENT AND FOREIGN ARBITRAL  AWARDS ) ACT,  2011           CONTENTS                                                                                                     1. Short title, extent, application and commencemen t.  2. Definitions.  3. Jurisdiction of Court.  4. Enforcement of arbitration agreemen ts.  5. Furnishing of documen ts.  6. Enforcement of foreign arbitral award .  7. Unenforceable foreign arbitral awards .  ",Supreme Court of Pakistan,Unknown
127,SC-126,Supreme Court Judgment,"      Page 1 of 45       THE SIND CO-OPERATIVE SOCIETIES ACT, 1925 .    CONTENTS     PREAMBLE .     SECTIONS .  CHAPTER I.   PRELIMINARY.       1. Short  title.  2. Extent.   3. Definitions.   CHAPTER II.    REGISTRATION.     4. The Registrar.   4A. Power of Registrar to issue search warrant.   5. Societies which may be registered.   6. Restrictions on interest of member of society with limited liability and a share capital.   7. Conditions of registration.   8. Power of Registrar to decide cert",Supreme Court of Pakistan,Unknown
128,SC-127,Supreme Court Judgment,"THE ISLAMBAD CAPIT AL TERRIT ORY LOCAL GOVERNMENT ELECTIONSORDINANCE, 2002 CONTENTS PREAMBLE . 1 Short title, extent and commencement 2 Amendment of section 15, ordinance lvii of 2002 3 Amendment of section 18, ordinance lvii of 2002 Page 1 of 3  ISLAMABAD CAPIT AL TERRIT ORY LOCAL GOVERNMENT ELECTIONS (AMENDMENT) ORDINANCE, 2002. ORDINANCE CII OF 2002 An Ordinance to amend the Islamabad Capital T erritory Local Government Elections Ordinance,  2002. WHEREAS     it   is  e xpedient    to  amend ",Supreme Court of Pakistan,Unknown
129,SC-128,Supreme Court Judgment,"UNDER PROOF READING   Page 1 of 11         THE CIVIL PIONEER FORCE ORDINANCE, 1965           CONTENTS   1.  Short title, extent and commencement   2.  Definitions   3.  Constitution of the Civil Pioneer Force   4.  Duties of the Force   5.  Officers of the Force   6.  Appointment of officers   7.  Enrolment and appointment to units   8.  Transfers.   9.  Liability for service   10.  Discharge and dismissal   11.  Major offences   12.  Minor offences   13.  Attempts to commit offences and abetmen",Supreme Court of Pakistan,Unknown
130,SC-129,Supreme Court Judgment,"  Page 1 of 9        THE PE TROLEUM PRODUCTS PETROLEUM LEVY   ORDINANCE, 1961                CONTENTS   1. Short title , extent and commencement   2. Definitions   3. Petroleum levy   3A. Powers to grant exemption from payment, authorise refund and procedur e for col lection and  refund of Petroleum Levy   4. Maximum sale price   5. Allowance to be made for Petroleum Levy for purposes of income tax   6. Power to make rules   7. Power s to amend Schedules   8. Delegation of powers   9. Validation",Supreme Court of Pakistan,Unknown
131,SC-130,Supreme Court Judgment,"  Page 1 of 2         THE ESTABLISHMENT OF THE FEDERAL BANK FOR  COOPERATIVES AND REGULATION OF COOPERATIVE  BANKING (REPEAL) ACT, 2018                   CONTENTS     1. Short title and commencement.   2. Repeal.         Page 2 of 2   THE ESTABLISHMENT OF THE FEDERAL BANK FOR COOPERATIVES  AND REGULATION OF COOPERATIVE BANKING (REPEAL) ACT, 2018   ACT NO. XXVI OF 2018   [18th May, 2018]   An Act to repeal the Establishment of the Federal Bank for Cooperatives and Regulation of  Cooperative Bank ",Supreme Court of Pakistan,Unknown
132,SC-131,Supreme Court Judgment,"  Page 1 of 4           THE  ASSOCIATED  CEMENT  (VESTING) ACT, 1974         CONTENTS     1.  Short title and comme ncement  2.  Definitions  3.  Vesting of Asso ciated Cement in Corporation  4.  Continuance in service of employees, etc.  5.  Administration, etc., of the Asso ciated Cement  6.  Provident Fund  7.  Investment by the Federal Government  8.  Indemnity  9.  Bar of jurisdiction  10.  Power to make rules  11.  Removal of difficulties  12.  [Repeal]      Page 2 of 4   THE  ASSOCIATED  ",Supreme Court of Pakistan,Unknown
133,SC-132,Supreme Court Judgment,"    Page 1 of 6            THE  NOTARIES  ORDINANCE,  1961         CONTENTS     PREAMBLE   1. Short  title extent  and commencement   2. Definitions   3. Power  to appoint  notaries   4. Registers   5. Entry  of names  in the Register  and issue  or renewal  of certificates  of practice   6. Annual  publication  of lists of notaries   7. Seal of notaries   8. Functions  of notaries   9. Bar of practice  without  certificate   10. Removal  of names  from  Register   11. Construction  of reference",Supreme Court of Pakistan,Unknown
134,SC-133,Supreme Court Judgment,"  Page 1 of 5         THE PAKISTAN INSURANCE CORPORATION                             (RE-ORGANIZATION) ORDINANCE, 2000       CONTENTS   1.  Short title, extent and commence ment   2.  Definitions   3.  Vesting of  the rights, property and liabilities of the Corpora tion in the Company   4.  Terms and conditions of service of employees   5.  Registration Fees   6.  Removal of difficulties   7.  Repeal         Page 2 of 5   THE PAKISTAN INSURANCE CORPORATION (RE -ORGANIZATION)  ORDINANCE, 2000   O",Supreme Court of Pakistan,Unknown
135,SC-134,Supreme Court Judgment,"  Page 1 of 16                THE NATIONAL  HIGHWAY AUTHORITY  ACT , 1991                  CONTENTS    CHA PTER  1  PRELIMINARY   1.  Short title, extent and comme ncement  2. Definitions  CHAPTER II   ESTABLISHMENT AND MANAGEMENT OF THE AUTHORITY     3.  Establishment of National Highway Authority  4.  Purpose and functions of Authority  5.  National Highway Council  6.  Powers and function of the Council  7.  Executive Board   8.  Powers and functions of the executive board  9.  Chief E xecuti",Supreme Court of Pakistan,Unknown
136,SC-135,Supreme Court Judgment,"THE PUBLIC ORDER (POLITICAL UNIFORMS) ORDINANCE, 1958 CONTENTS PREAMBLE. 1. Short title, extent and commencement 2. Interpretation 3. Prohibition of uniforms in connection with political objects 4. Prohibition of quasi­military organisations 5. Offences to be cognizable and non­bailable 6. Punishment Page 1 of 5  THE PUBLIC ORDER (POLITICAL UNIFORMS) ORDINANCE, 1958 ORDINANCE NO. XV OF 1958 [19th September, 1958] An Ordinance to prohibit the wearing of uniforms in connection with political purpo",Supreme Court of Pakistan,Unknown
137,SC-136,Supreme Court Judgment,"  Page 1 of 26        THE SIR SYED CASE (CEN TER FOR AD VANC ED STUDIES IN  ENGINEERING) INSTITUTE OF  TECHNOLOG Y, ISLAMABAD  ACT, 2018               CONTENTS        CHAPTER I    Preliminary   1 Short title and commencement.   2 Definitions.   CHAPTER II    THE INSTITUTE   3 Establishment and Incorporat ion of the Institute   4 Powers, Purposes and Functions of the Institute   5 Institute Open to All.   6 Teaching and Examinations   CHAPTER III    OFFICERS OF T HE INSTITU TE,  7 Officers   8 Th",Supreme Court of Pakistan,Unknown
138,SC-137,Supreme Court Judgment,"  Page 1 of 32             THE PAKISTAN HALAL AUTHORITY ACT, 2016               CONTENTS     1.  Short title, extent and commencement.     2.  Definitions.     3.  Establishment of the Authority.     4.  Management.     5.  Composition of the Board of Governors.     6.  Terms of office of members.     7.  Removal of members.     8.  Constitution of the Executive Committee.     9.  Director General.     10.  Powers and functions of the Authority.     11.  Meetings.     12.  Authentication of orde",Supreme Court of Pakistan,Unknown
139,SC-138,Supreme Court Judgment,THIS LAW HAS BEEN REPEALED  ,Supreme Court of Pakistan,Unknown
140,SC-139,Supreme Court Judgment,"  Page 1 of 12               ISLAMABAD CAPITAL TERRITORY SENIOR CITIZENS  ACT, 2021                 CONTENTS       _________     SECTIONS :    1. Short  title, extent  and commencement .  2. Definitions .  3. Establishment  of the Council .  4. Composition of the Council .  5. Executive  Committee  of the Council .  6. Appointment  of employees  or officers .  7. Qualification of Members .  8. Powers  and Functions  of the Council .  9. Meetings  of the Council .  10. Establishment  of old-age H",Supreme Court of Pakistan,Unknown
141,SC-140,Supreme Court Judgment,"THE EHTRAM­E­RAMAZAN ORDINANCE, 1981 CONTENTS SECTIONS: 1. Short title, extent and commencement. 2. Definition 3. Prohibition of eating etc., in public places 4. Prohibition of serving eatables in certain public places. 5. Exemptions. 6. Cinema­houses, theatres, etc., to remain closed during Ramazan. 7. Power to enter and arrest. 8. Cognizance of of fences and procedure. 9. Power to make rules. 10. Ordinance to override other laws. Page 1 of 5  THE EHTRAM ‑ E ‑ RAMAZAN ORDINANCE, 1981 ORDINANCE ",Supreme Court of Pakistan,Unknown
142,SC-141,Supreme Court Judgment,"THE NORTH­WEST FRONTIER CONSTABULARY ACT, 1915 CONTENTS S E C T I O N S : 1 . S h o r t   t i t l e ,   e x t e n t ,   a p p l i c a t i o n   a n d   c o m m e n c e m e n t . 2 . D e f i n i t i o n s . 3 . P o w e r   t o   m a i n t a i n   F r o n t i e r   C o n s t a b u l a r y . 3   A . P o w e r   t o   e m p l o y   F r o n t i e r   C o n s t a b u l a r y   i n   o t h e r   p a r t s   o f   P a k i s t a n . 4 . C o n s t i t u t i o n   o f   C o n s t a b u l a r y . 5 . A p p ",Supreme Court of Pakistan,Unknown
143,SC-142,Supreme Court Judgment,"  Page 1 of 12          CHINA PAKISTAN ECONOMIC CORRIDOR AUTHORITY ACT,  2021                 CONTENTS     1.  Short title, extent and commencement.   2.  Definitions .  CHAPTER II   ESTABLISHMENT OF THE AUTHORITY   3.  Establishment of the Authority.   4.  Powers and Functions of the Authority.   CHAPTER III   MANAGEMENT AND ADMINISTRATION OF THE AUTHORITY   5.  Composition of the Authority.   6.  Appointment of the Chairperson.   7.  Appointment of the Members.   8.  Executive Director Operati",Supreme Court of Pakistan,Unknown
144,SC-143,Supreme Court Judgment,"THE CENTRAL EXCISE DUTY ON SUGAR (VALIDATION) ORDINANCE, 1979 CONTENTS 1 Short title and commencement. 2 Validation of levy and collection of central excise duty on enhanced rate etc.  THE CENTRAL EXCISE DUTY ON SUGAR (VALIDATION) ORDINANCE, 1979. ORDINANCE No. XXXIV OF 1979 [16thJuly, 1979]            An Ordinance to validate the levy and collection of excise duty on enhanced rate on stocks of sugar held by sugar mills on the 7th June, 1975. WHEREAS it is expedient to validate the levy and coll",Supreme Court of Pakistan,Unknown
145,SC-144,Supreme Court Judgment,"  Page 1 of 5            THE  COT TON GINNING CONTROL  AND  DEVELO PMENT   (REPEAL) ORDINANCE,  1977                               CONTENTS     1.  Short title, extent and comme ncement  2.  Definitions  3.  Return of establishments  4.  Continuance in service of the employees  5.  Prohibition of the operation of an establishment  6.  Compensation  7.  Debtor  8.  General effect of return of establishment  9.  Ordinance to override other laws  10.   Bar of jurisdiction  11.  Penalties  12.  Powe",Supreme Court of Pakistan,Unknown
146,SC-145,Supreme Court Judgment,"THE JAMMU AND KASHMIR (ADMINISTRATION OF PROPERTY) ORDINANCE,1961 CONTENTS . 1. Short title, extent and commencement. 2. Vesting of properties in the federal government. 3. Management, sale or lease of properties etc. 3 A.Adjudication of disputes. 3 B.Appeal. 3 C.Revision.. 4. Deposit of sale proceeds etc. 5. Certification of sale. 5 A.Manager and certain other persons to be public servants. 5 B.Bar of legal proceedings, etc. 5 C.Recovery of arrears. 6. Power to make rules. 7. Final adjustment o",Supreme Court of Pakistan,Unknown
147,SC-146,Supreme Court Judgment,"  Page 1 of 6           THE LAW COMMISSION ORDINANCE, 1979                    CONTENTS   1. Short title, extent and commencement   2. Definitions   3. Composition of commission   4. Head Office   5. Secretariat   6. Functions of the commission   6A. Fund   6B. Expenditure to be charged on the fund   6C. Constitution of Committees   6D. Reports   7. Application of Act VI of 1956   8. Aspsistance to commission   9. Power to make rules         Page 2 of 6   THE LAW COMMISSION ORDINANCE, 1979     OR",Supreme Court of Pakistan,Unknown
148,SC-147,Supreme Court Judgment,"  Page 1 of 4       INTER -GOVERNMENTA L COMMERCIAL TRANSACTIONS  ACT, 2022           CONTENTS     1. Short title, extent and commencement.   2. Definitions.   3. Inter -governmental framework agreement .  4. Constitution of Cabinet Committee .  5. Power to relax or exempt from regulatory compliance .  6. Conflict of interest .  7. Bar of jurisdiction .  8. Indemnity .  9. Overriding effect .  10. Rules .        Page 2 of 4   INTER -GOVERNMENTA L COMMERCIAL TRANSACTIONS  ACT, 2022   ACT N O. XXX",Supreme Court of Pakistan,Unknown
149,SC-148,Supreme Court Judgment,THIS LAW HAS BEEN REPEALED  ,Supreme Court of Pakistan,Unknown
150,SC-149,Supreme Court Judgment,THIS LAW HAS BEEN REPEALED  ,Supreme Court of Pakistan,Unknown
151,SC-150,Supreme Court Judgment,"THE KARACHI ESSENTIAL ARTICLES (PRICE CONTROL AND ANTL­HOARDING) ACT, 1953 CONTENTS 1 Short title extent and commencement. 2 Definitions. 3 Power to fix prices and to require marking of prices. 4 Prohibition against purchase, sale, etc., at prices exceeding the maximum price. 5 Power to control possession of essential article. 6 Power to require licence for trading. 7 Direction to sell to specified persons. 8 Prohibition against withholding of sales. 9 Power to require maintenance of accounts, e",Supreme Court of Pakistan,Unknown
152,SC-151,Supreme Court Judgment,"  Page 1 of 39              THE INTERNATIONAL ISLAMIC UNIVERSITY ORDINANCE,  1985               CONTENTS   CHAPTER I   THE PRILIMINARY   1. Short title and commencement   2. Definitions   3.   CHAPTER II   THE UNIVERSITY   4. Establishment of the University   5. Powers and functions of the University   6. University open to all classes, creeds, etc   7. Teaching in the University   CHAPTER III   OFFICERS OF THE UNIVERSITY   8. Officers of the University   9. Chancellors   10. Visitation   11. Pr",Supreme Court of Pakistan,Unknown
153,SC-152,Supreme Court Judgment,"T H E   H I N D U   D I S P O S I T I O N   O F   P R O P E R T Y   A C T ,   1 9 1 6 C O N T E N T S S E C T I O N S : 1 . S h o r t   t i t l e   a n d   e x t e n t . 2 . D i s p o s i t i o n s   f o r   t h e   b e n e f i t   o f   p e r s o n s   n o t   i n   e x i s t e n c e . 3 . L i m i t a t i o n s   a n d   c o n d i t i o n s . 4 . [ R e p e a l e d . ] 5 . A p p l i c a t i o n   o f   t h i s   A c t   t o   t h e   K h o j a   c o m m u n i t y . Page 1 of 4  T H E   H I N D U",Supreme Court of Pakistan,Unknown
154,SC-153,Supreme Court Judgment,"THE KARACHI HOTELS AND LODGING­HOUSES (CONTROL) ACT, 1950 CONTENTS 1. Short title, commencement and extent 2. Definitions 3.Appointment of Controller and Additional Controllers. Appointment of Advisory Committee 4. Registration of hotels and lodging­houses 5. Classification of hotels and lodging houses 6. Controller to fix fair rates for accommodation 7. Controller to fix limit of persons to be accommodated in any room 8. Fair rates and limits of persons for rooms to be displayed 9. Reservation ",Supreme Court of Pakistan,Unknown
155,SC-154,Supreme Court Judgment,"T H E   P R I S O N S   A C T ,   1 8 9 4 C O N T E N T S S E C T I O N S : C H A P T E R   I P R E L I M I N A R Y 1 . T i t l e ,   e x t e n t   a n d   c o m m e n c e m e n t . 2 . [ R e p e a l e d . ] 3 . D e f i n i t i o n s . C H A P T E R   I I M A I N T E N A N C E   A N D   O F F I C E R S   O F   P R I S O N S 4 . A c c o m m o d a t i o n   f o r   p r i s o n e r s . 5 . I n s p e c t o r   G e n e r a l . 6 . O f f i c e r s   o f   p r i s o n s . 7 . T e m p o r a r y   a c c ",Supreme Court of Pakistan,Unknown
156,SC-155,Supreme Court Judgment,"THE BANKS (TRANSFER OF ASSETS AND LIABILITIES) ACT , 1974 CONTENTS SECTIONS: 1. Short title, extent and commencement. 2. Definitions. 3. Act to override other laws. 4. V esting of specified of fices and branches. 5. Contracts and proceedings. 6. Excepted liabilities. 7. Delivery of undertaking. 8. Police assistance. 9. Evaluation. 10. V alidity of action of of ficers of specified of fices and branches. 1 1. Extension of limitation. 12. References in other laws. 13. Penalties. 14. Bar of Jurisdic",Supreme Court of Pakistan,Unknown
157,SC-156,Supreme Court Judgment,"  Page 1 of 8       THE COTTON CESS ACT, 1923             CONTENTS   1.  Short title and extent .  2.  Definitions .  3.  Imposition of Cotton Cess .  4.  Constitution of Pakistan Central Cotton Committee .  5. [Omitted ].  6.  Delivery of monthly returns .  7.  Collection of cess by Collector .  8.  Collection of cess on exported cotton .  9.  Finality of assessment and recovery of unpaid cess .  10.  Power to inspect mills and take copies of records and accounts .  11.  Information acquired to",Supreme Court of Pakistan,Unknown
158,SC-157,Supreme Court Judgment,"   ALTERNATIVE ENERGY DEVELOPMENT BOARD ACT, 2010   Act No. XIV OF 2010   [25th May, 2010]   An Act to provide for establishment of Alternative Energy  Development Board    WHEREAS  it is expedient to provide for establishment of Alternative Energy Development  Board (AEDB) as an autonomous body for the purpose of implementation of v arious  policies,  programmes and projects in the field of Altern ative or Renewable Energy Technologies;    AND W HEREAS  the objective of the Alternative Energy D",Supreme Court of Pakistan,Unknown
159,SC-158,Supreme Court Judgment,"  Page 1 of 20                                                                                                                                                                                                                                                                                                                                                                                                   THE PUBLIC PRIVATE PARTNERSHIP AUTHORITY   ACT , 2017                CONT ENTS     ____________    ",Supreme Court of Pakistan,Unknown
160,SC-159,Supreme Court Judgment,"  Page 1 of 20       THE  AIR UNIVERSITY  ORDINANCE,  2002               CONTENTS     1                 Short  title and commencement    2                 Definitions    3                 Establishment  and incorporation  of the Universit y   4                 Purposes,  powers  and functions  of the Universit y   5                 Principal  teaching  facilities,  examinations,  etc.   6                 University  to be open  to all classes,  creeds  etc.   7                 Patron    8       ",Supreme Court of Pakistan,Unknown
161,SC-160,Supreme Court Judgment,THIS LAW HAS BEEN REPEALED  ,Supreme Court of Pakistan,Unknown
162,SC-161,Supreme Court Judgment,"  Page 1 of 13            THE PROTECTION OF PAKISTAN ACT, 2014             CONTENTS       1.  Short title, extent and commencement.   2.  Definitions.   3.  Use of armed forces and civil armed forces to prevent scheduled offences.   4.  Application of Code.   5.  Investigation.   6.  Preventive det ention.   7.  Report.   8.  Establishment of Special Courts etc.   9.  Place of inquiries, investigations and trials etc.   10.  Exclusion of public from proceedings of Special Court.   11.  Establish",Supreme Court of Pakistan,Unknown
163,SC-162,Supreme Court Judgment,"  Page 1 of 2     THE FEDERAL PUBLIC SERVICE COMMISSION (VALIDATION  OF RULES) ACT, 2021.                   CONTENTS     1. Short title and commencement .  2. Validation of certain rules .                                        Page 2 of 2   THE FEDERAL PUBLIC SERVICE COMMISSION (VALIDATION  OF RULES)  ACT, 2021.   Act NO. XXXIV OF 2021   [1st December, 2021]   AN  ACT   to validate the rules for regarding the competitive examination conducted by the Federal Service  Commission   WHEREAS it is n",Supreme Court of Pakistan,Unknown
164,SC-163,Supreme Court Judgment,"THE CAPITAL TERRITORY LOCAL GOVERNMENT ORDINANCE, 1979.   ORDINANCE No. XXXIX OF 1979   [20th August , 1979 ]   An Ordinance to provide for the constitution of Local Government institutions in  the Capital Territory .   WHEREAS  it is expedient to provide for the con stitution of Local Govern ment  Institutions in the Capital Territory and to provide for matters connected therewith ;    AND WHEREAS  the President is satisfied that circumstances exist which render it necessary to  take immediate ",Supreme Court of Pakistan,Unknown
165,SC-164,Supreme Court Judgment,"THE PAKISTAN BOY SCOUTS ASSOCIATION ORDINANCE, 1959 CONTENTS PREAMBLE. . 1 Short title extent and commencement 2 Incorporation of Association 3 Constitution powers and functions of Association 4 Exclusive right to titles, uniforms badges etc 5 Penalty, etc. 6 [Omitted.] Page 1 of 5  THE PAKISTAN BOY SCOUTS ASSOCIATION ORDINANCE, 1959 ORDINANCE NO. XLIII OF 1959  [29th July, 1959] An Ordinance to incorporate the Pakistan Boy Scouts Asso ciation and to provide for certain matters connected therewi",Supreme Court of Pakistan,Unknown
166,SC-165,Supreme Court Judgment,"  Page 1 of 26        THE PORT QASIM AUTHORITY ACT, 1973           CONTENTS   __________     CHAPTER  I    PRELIMINARY     1.  Short  title, extent  and commencement.   2.  Definitions.   3.  Declaration  of Port area.     CHAPTER  II    ESTABLISHMENT  OF THE  AUTHORITY     4.  Establishment  of the Authority.   5.  Management.   6.  Constitution  of the Board.   7.  Remuneration  and conditions  of service.   8.  Duties  and functions  of Chairman  and members.   9.  Headquarters  of the Author",Supreme Court of Pakistan,Unknown
167,SC-166,Supreme Court Judgment,"THE PAKISTAN NATIONAL SERVICE ORDINANCE, 1970 CONTENTS PREAMBLE. . 1 Short title, extent, application and commencement 2 Definitions 3 National service liability, etc 4 Deferment of liability to render national service 5 Selection and enrolment, etc 6 National service Reserve 7 Refresher training 8 Service in Defence Services 8 A Service of notice 9 Certificate to be granted 10 Permission to leave pakistan necessary 11 Extension of age limit 12 Employers not to employ certain persons 13 Obligati",Supreme Court of Pakistan,Unknown
168,SC-167,Supreme Court Judgment,"THE MINIMUM WAGES ORDINANCE, 1961 CONTENTS PREAMBLE. . 1 Short title, extent and commencement 2 Definitions 3 Establishment of Minimum Wages Boards 4 Recommendation of minimum rates of wages for unskilled and Juvenile Workers 5Recommendation of minimum rates of wages for workers with respect to particular industries 6 Power to declare minimum rates of wages 7 Periodical review of minimum rates of wages 8 Constitution of the minimum wages council 9 Prohibition to pay wages at a rate below the min",Supreme Court of Pakistan,Unknown
169,SC-168,Supreme Court Judgment,"  THE MILITARY COLLEGE OF ENGINEERING, RISALPUR (DEGREE)  ORDINANCE, 1962    ORDINANCE  NO. XVII OF 1962    [9th May, 1962]   An Ordinance to grant a charter to the Military College of Engineering, Risalpur.   WHEREAS  it is expedient to grant a charter to the Militar y College of Engineering,  Risalpur, for the purpose of enabling it to award the Degree of Bachelor of Civil Engineering  and to provide for matters ancillary thereto;    NOW, THEREFORE , in pursuance of Proclamation of the seventh",Supreme Court of Pakistan,Unknown
170,SC-169,Supreme Court Judgment,"     The [Pakistan] Arms Ordinance,1965    (XX OF 1965)       CONTENT   _____     CHAPTER 1   PRELIMINARY   1. Short  title and commencement.    2.  Exception .   3. Definitions .   CHAPTER II   SALE AND REPAIR   4. Unlicensed sale and repair prohibited .  CHAPTER III   TRANSPORT   5. Power to prohibit transport .  6. Power to establish searching posts .  7. Arrest of persons conveying arms, etc., under suspicious circumstances .   CHAPTER IV   GOING  ARMED AND POSSESSING ARMS, ETC.   8. Prohibi",Supreme Court of Pakistan,Unknown
171,SC-170,Supreme Court Judgment,"T H E   P A K I S T A N   I N T E R N A T I O N A L   A I R L I N E   C O R P O R A T I O N   ( S U S P E N S I O N   O FT R A D E   U N I O N S   A N D   E X I S T I N G   A G R E E M E N T S )   O R D E R   ( R E P E A L )   A C T ,   2 0 0 8 C O N T E N T S S E C T I O N S : 1 . S h o r t   t i t l e   a n d   c o m m e n c e m e n t . 2 .R e p e a l   o f   t h e   P a k i s t a n   I n t e r n a t i o n a l   A i r l i n e   C o r p o r a t i o n   ( S u s p e n s i o n   o f   T r a d e U ",Supreme Court of Pakistan,Unknown
172,SC-171,Supreme Court Judgment,"  Page 1 of 28         THE NFC INSTITUTE OF ENGINEERING AND TECHNOLOGY  MULTAN ACT,  2012         CONTENTS     CHAPTER­I   PRELIMINARY     1. Short  title and Commencement.     2. Definitions.   CHAPTER­II   THE INSTITUTE     3. Establishment  of the Institute.     4. Powers  and purpose  of the Institute.     5. Institute  open  to all classes,  creeds,  etc.    6. Teaching  at the Institute.     CHAPTER­III   OFFICERS OF THE INSTITUTE     7. Principal  Officers.     8. Chancellor.     9. Remov",Supreme Court of Pakistan,Unknown
